Alimento,CDR,,,,25,800,14,150,375,10,<2300,2000,1,55,"1,1","1,4",16,"1,4",200,"2,5",80,800,-,-,5,12,75,20,,,
,Calorías,Proteína,Grasa,Carbohidratos,Fibra,Calcio (mg),Hierro (mg),Yodo (µg),Magnesio (mg),Zinc (mg),Sodio (mg),Potasio (mg),Cobre (mg),Selenio (µg),Tiamina (mg),Riboflavina (mg),Equivalentes de niacina (mg),Vitamina B6 (mg),Ácido Fólico (µg),Vitamina B12 (µg),Vitamina C (mg),Vitamina A (µg),Retinol (µg),Carotenos (µg),Vitamina D (µg),Vitamina E (mg),Vitamina K (µg),AGS,AGM,AGP,Colesterol
Pan de pasas,"269,00","8,30","3,00","49,60","2,80","135,00","3,40","0,00","24,00","0,69","442,00","188,00","0,12","19,90","0,49","0,23","4,40","0,10","154,00","0,00","0,20","0,00","0,00","0,00","0,68","0,21","0,50","0,63","0,54","1,40","0,00"
Pan de perrito,"271,00","7,50","4,70","47,50","4,10","211,00","2,30","2,60","34,00","1,80","494,00","110,00","0,13","28,00","0,32","0,14","2,50","0,10","26,00","0,91","0,00","0,01","0,01","0,00","0,00","0,26","3,00","1,00","1,40","1,30","0,00"
Pan de pita,"274,00","9,10","1,20","55,70","2,20","52,70","1,00","10,00","18,10","1,00","530,00","134,00","0,00","0,00","0,11","0,08","2,60","0,05","21,00","0,00","0,00","8,30","0,00","50,00","0,00","0,07","0,00","0,17","0,11","0,54","0,00"
Pan de trigo y centeno,"243,00","6,70","1,00","49,00","5,50","26,00","2,40","9,30","33,00","0,90","464,00","130,00","0,00","0,00","0,18","0,11","1,20","0,22","16,00","0,00","0,00","0,00","0,00","0,00","0,00","1,20","0,00","0,13","0,10","0,47","30,70"
Pan de Viena,"268,00","10,80","2,40","49,70","2,20","52,00","3,90","0,00","32,00","1,00","602,00","117,00","0,15","28,60","0,71","0,43","4,80","0,11","123,00","0,00","0,00","0,00","0,00","0,00","0,00","0,28","0,70","0,53","0,36","0,86","0,00"
Pan fajitas,"315,00","8,60","6,40","53,00","5,40","56,00","1,60","4,70","25,10","0,61","500,00","110,00","0,19","28,00","0,09","0,06","3,00","0,06","23,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,90","3,10","0,00","0,00","0,00"
Pan integral,"259,00","10,90","3,00","44,00","6,00","54,00","2,70","1,00","76,00","1,80","361,00","230,00","0,25","35,00","0,34","0,09","5,50","0,12","39,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","3,40","0,54","0,41","1,20","0,00"
Pan integral tostado,"385,00","13,00","7,00","62,00","11,00","63,00","3,20","0,00","89,00","2,10","538,00","270,00","0,30","41,00","0,34","0,10","7,00","0,14","46,00","0,00","0,00","0,33","0,00","2,00","0,00","0,20","3,00","0,00","0,00","0,00","0,00"
Pan sin gluten,"242,00","4,30","5,20","42,30","4,30","138,00","2,60","0,00","12,00","0,48","447,00","75,00","0,08","0,40","0,38","0,51","2,80","0,07","36,00","0,00","0,00","0,00","0,00","0,00","0,00","0,60","0,30","0,98","2,00","0,52","0,00"
Pan tipo hamburguesa,"271,00","7,50","4,70","47,50","4,10","211,00","2,30","2,60","34,00","1,80","400,00","110,00","0,13","28,00","0,32","0,14","2,50","0,10","26,00","0,91","0,00","0,01","0,01","0,00","0,00","0,26","3,00","1,00","1,40","1,30","0,00"
Pan tipo picatoste con omega 3,"524,00","10,20","31,50","46,90","6,20","0,00","0,00","0,00","0,00","0,00","700,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,40","21,00","6,10","0,00"
Panecillos hechos con aceite de oliva,"305,00","8,00","4,50","56,60","3,20","130,00","2,30","19,00","31,00","0,70","550,00","110,00","0,00","28,00","0,23","0,10","3,40","0,06","48,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,75","3,20","0,47","0,00"
